measures,8,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,100,,,,,
maxTempo,140,,,,,
swing,0,,,,,
36,36,72,72,100,,90
,40,79,,,,20
,43,,,,20,80
36,48,71,71,90,,20
36,43,72,72,90,,90
,40,,,,,20
40,36,76,76,50,50,80
41,40,75,75,,,20
43,43,74,74,100,,90
,47,78,78,,,20
,50,,,,20,80
43,53,73,73,90,,20
43,50,74,74,90,,90
,47,,,,,20
43,43,76,76,50,50,80
,47,74,74,,,20
36,36,72,72,100,,90
,40,79,76,,,20
,43,,,,20,80
36,48,72,72,90,,20
36,43,76,76,90,,90
,40,,,,,20
38,36,79,79,50,50,80
40,40,83,76,,,20
41,41,81,81,100,,90
,44,79,,,,20
,48,78,,,20,80
41,53,77,,90,,20
41,41,76,,90,,90
,44,75,,,,20
43,48,81,81,50,50,80
,44,,,,,20
36,36,79,79,100,,90
,40,78,,,,20
,43,77,,,20,80
36,48,76,76,90,,20
36,43,76,76,90,,90
,40,,,,,20
40,36,72,72,50,50,80
41,40,73,73,,,20
43,43,74,74,100,,90
,47,,,,,20
,50,,,,20,80
43,53,73,73,90,,20
43,50,74,74,90,,90
,47,,,,,20
43,43,76,76,,100,80
44,44,74,74,,,20
45,45,72,72,100,,90
,48,,,,,20
,52,,,,20,80
41,57,69,69,90,,20
41,52,69,69,90,,90
,48,,,,,20
41,45,67,67,50,50,80
43,48,69,69,,,20
36,36,72,72,100,90,90
,40,71,,,,20
,43,72,,,20,80
36,48,74,,90,,20
36,43,79,,90,,90
,40,76,,,,20
31,36,67,67,50,50,80
,40,76,,,,20
