measures,16,,,,,
beats,3,,,,,
divisions,2,,,,,
minTempo,140,,,,,
maxTempo,180,,,,,
swing,0,,,,,
33,69,64,72,100,,90
,,60,84,20,,10
,,64,72,,,90
,,59,60,20,,10
35,71,64,74,90,,90
,,59,62,,,10
36,72,67,76,90,90,90
,,64,64,20,,10
,,60,76,,,90
,74,67,78,20,,10
38,72,72,76,90,,90
,,76,64,,,10
31,71,62,74,100,,90
,,59,86,20,,10
,,55,74,,,90
,,67,62,20,,10
28,67,71,71,90,,90
,,67,59,,,10
31,64,62,67,100,90,90
,,67,55,20,,10
,,71,67,,,90
,65,74,69,20,,10
32,67,71,71,90,,90
,,62,83,,,10
33,69,64,72,100,,90
,,69,60,20,,10
,,71,72,,,90
,,72,60,20,,10
33,65,74,69,90,,90
,,72,57,,,10
29,65,60,69,100,90,90
,,65,73,20,,10
,,69,69,,,90
,64,72,68,20,,10
29,65,77,69,90,,90
,,72,57,,,10
28,68,59,71,100,,90
,,64,59,20,,10
,,68,71,,,90
,,71,83,20,,10
,64,68,68,90,,90
,,71,56,,,10
28,76,59,64,100,90,90
,,62,76,20,,10
,,64,64,,,90
,,68,76,20,,10
32,64,74,69,90,,90
,,56,57,,,10
33,69,64,72,100,,90
,,60,60,20,,10
,,64,84,,,90
,,59,72,20,,10
35,71,64,74,90,,90
,,59,62,,,10
36,72,67,76,100,90,90
,,64,64,20,,10
,,60,76,,,90
,74,67,78,20,,10
38,72,72,76,90,,90
,,76,64,,,10
31,71,62,74,100,,90
,,59,62,20,,10
,,55,74,,,90
,,67,62,20,,10
28,67,71,71,90,,90
,,67,59,,,10
31,64,62,67,100,90,90
,,67,55,20,,10
,66,71,69,,,90
,,74,57,20,,10
32,68,71,71,90,,90
,,62,59,,,10
33,76,64,72,100,,90
,,60,60,20,,10
31,74,62,71,,,90
,,59,59,20,,10
29,72,60,69,90,,90
,,57,57,,,10
28,71,59,68,100,90,90
,,62,56,20,,10
30,69,64,64,,,90
,,68,52,20,,10
32,71,71,68,90,,90
,,74,80,,,10
33,73,64,69,100,,90
,,61,57,20,,10
,,64,69,,,90
45,,61,81,20,,10
33,,64,69,90,,90
,,61,57,,,10
33,73,64,69,100,90,90
,,61,57,20,,10
,,64,69,,,90
45,,61,81,20,,10
33,64,64,69,90,,90
,,61,57,,,10
