measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,80,,,,,
maxTempo,200,,,,,
swing,0,,,,,
33,57,64,69,100,10,10
,,,,,,
28,64,,,10,10,100
,,,,,,
31,,64,69,100,100,10
,,,,,,
32,57,,,10,10,100
,,,,,,
33,62,,,100,10,10
,,,,,,
28,,62,69,10,10,100
,,,,,,
31,57,,,100,100,10
,,,,,,
32,60,,,10,10,100
,,,,,,
33,,60,69,100,10,10
,,,,,,
28,57,,,10,10,100
,,,,,,
31,58,,,100,100,10
,,59,59,,,
33,,60,60,10,10,100
,,61,61,,,
36,56,,,100,10,10
,,,,,,
35,57,,,10,10,100
,,57,57,,,
34,,58,58,100,100,10
,,59,59,,,
32,58,,,10,10,100
,,,,,,
33,57,64,69,100,10,10
,,,,,,
28,64,,,10,10,100
,,,,,,
31,,64,69,100,100,10
,,,,,,
32,57,,,10,10,100
,,,,,,
33,62,,,100,10,10
,,,,,,
28,,62,69,10,10,100
,,,,,,
31,57,,,100,100,10
,,,,,,
32,60,,,10,10,100
,,,,,,
33,,60,69,100,10,10
,,,,,,
28,57,,,10,10,100
,,,,,,
31,58,,,100,100,10
,,59,59,,,
33,,60,60,10,10,100
,,61,61,,,
36,56,,,100,10,10
,,,,,,
35,57,,,10,10,100
,,57,57,,,
34,,58,58,100,100,10
,,59,59,,,
32,58,,,10,10,100
,,,,,,
